X,Y,Z,ms,Date
0,2,10,254507,2018-07-25 07:36:16:101
-1,3,9,255007,2018-07-25 07:36:16:601
-1,3,10,255507,2018-07-25 07:36:17:101
-1,3,9,256007,2018-07-25 07:36:17:601
0,1,7,256507,2018-07-25 07:36:18:101
1,4,9,257007,2018-07-25 07:36:18:601
-1,2,10,257507,2018-07-25 07:36:19:101
-2,4,10,258007,2018-07-25 07:36:19:601
-1,2,10,258508,2018-07-25 07:36:20:102
-5,3,9,259007,2018-07-25 07:36:20:601
-1,2,5,259508,2018-07-25 07:36:21:102
-6,1,11,260008,2018-07-25 07:36:21:602
2,4,11,260508,2018-07-25 07:36:22:102
0,1,15,261007,2018-07-25 07:36:22:601
1,3,14,261508,2018-07-25 07:36:23:102
0,5,8,262008,2018-07-25 07:36:23:602
1,4,8,262508,2018-07-25 07:36:24:102
2,5,8,263008,2018-07-25 07:36:24:602
0,6,7,263508,2018-07-25 07:36:25:102
-1,4,7,264008,2018-07-25 07:36:25:602
0,2,12,264507,2018-07-25 07:36:26:101
-2,2,13,265008,2018-07-25 07:36:26:602
6,1,11,265508,2018-07-25 07:36:27:102
-2,5,9,266007,2018-07-25 07:36:27:601
-1,4,10,266508,2018-07-25 07:36:28:102
-1,4,8,267007,2018-07-25 07:36:28:601
-5,1,14,267507,2018-07-25 07:36:29:101
-3,4,14,268008,2018-07-25 07:36:29:602
-1,6,3,268508,2018-07-25 07:36:30:102
0,6,7,269008,2018-07-25 07:36:30:602
3,1,12,269508,2018-07-25 07:36:31:102
2,2,10,270008,2018-07-25 07:36:31:602
0,7,15,270508,2018-07-25 07:36:32:102
0,3,11,271008,2018-07-25 07:36:32:602
1,1,10,271507,2018-07-25 07:36:33:101
-1,5,10,272007,2018-07-25 07:36:33:601
1,3,10,272507,2018-07-25 07:36:34:101
0,3,9,273007,2018-07-25 07:36:34:601
0,3,10,273508,2018-07-25 07:36:35:102
0,3,10,274007,2018-07-25 07:36:35:601
0,3,10,274508,2018-07-25 07:36:36:102
0,4,9,275008,2018-07-25 07:36:36:602
-1,5,8,275507,2018-07-25 07:36:37:101
-1,5,8,276007,2018-07-25 07:36:37:601
0,2,10,276507,2018-07-25 07:36:38:101
0,2,10,277008,2018-07-25 07:36:38:602
